time,temp
0.057,25
0.057,25
0.111,25
0.111,25
0.111,25
0.171,25
0.171,25
0.226,25
0.226,25
0.282,25
0.282,25
0.282,25
0.338,25
0.338,25
0.392,25
0.392,25
0.447,25
0.447,25
0.447,25
0.501,25
0.501,25
0.558,25
0.558,25
0.612,25
0.612,25
0.615,25
0.668,25
0.668,25
0.724,25
0.724,25
0.778,25
0.778,25
0.833,25
0.833,25
0.833,25
0.891,25
0.891,25
0.945,25
0.945,25
0.999,25
0.999,25
1.056,25
1.056,25
1.056,25
1.112,25
1.112,25
1.166,25
1.166,25
1.223,25
1.223,25
1.223,25
1.278,25
1.278,25
1.333,25
1.333,25
1.39,25
1.39,25
1.39,25
1.444,25
1.444,25
1.498,25
1.498,25
1.553,25
1.553,25
1.607,25
1.607,25
1.607,25
1.66,25
1.66,25
1.714,25
1.714,25
1.77,25
1.77,25
1.772,25
1.826,25
1.826,25
1.881,25
1.881,25
1.938,25
1.938,25
1.94,25
1.994,25
1.994,25
2.048,25
2.048,25
2.105,25
2.105,25
2.165,25
2.165,25
2.165,25
2.219,25
2.219,25
2.272,25
2.272,25
2.326,25
2.326,25
2.326,25
2.381,25
2.381,25
2.436,25
2.436,25
2.491,25
2.491,25
2.493,25
2.546,25
2.546,25
2.6,25
2.6,25
2.655,25
2.655,25
2.709,25
2.709,25
2.763,25
2.763,25
2.763,25
2.819,25
2.819,25
2.872,25
2.872,25
2.926,25
2.926,25
2.981,25
2.981,25
2.981,25
3.037,25
3.037,25
3.091,25
3.091,25
3.145,25
3.145,25
3.147,25
3.204,25
3.204,25
3.258,25
3.258,25
3.312,25
3.312,25
3.37,25
3.37,25
3.37,25
3.424,25
3.424,25
3.478,25
3.478,25
3.533,25
3.533,25
3.533,25
3.59,25
3.59,25
3.644,25
3.644,25
3.697,25
3.697,25
3.697,25
3.753,25
3.753,25
3.806,25
3.806,25
3.86,25
3.86,25
3.916,25
3.916,25
3.916,25
3.971,25
3.971,25
4.025,25
4.025,25
4.079,25
4.079,25
4.133,25
4.133,25
4.133,25
4.19,25
4.19,25
4.244,25
4.244,25
4.299,25
4.299,25
4.356,25
4.356,25
4.356,25
4.41,25
4.41,25
4.465,25
4.465,25
4.52,25
4.52,25
4.52,25
4.575,25
4.575,25
4.629,25
4.629,25
4.683,25
4.683,25
4.739,25
4.739,25
4.739,25
4.794,25
4.794,25
4.848,25
4.848,25
4.903,25
4.903,25
4.905,25
4.958,25
4.958,25
5.012,25
5.012,25
5.066,25
5.066,25
5.123,25
5.123,25
5.123,25
5.177,25
5.177,25
5.231,25
5.231,25
5.286,25
5.286,25
5.288,25
5.341,25
5.341,25
5.395,25
5.395,25
5.45,25
5.45,25
5.505,25
5.505,25
5.505,25
5.559,25
5.559,25
5.613,25
5.613,25
5.667,25
5.667,25
5.723,25
5.723,25
5.723,25
5.778,25
5.778,25
5.832,25
5.832,25
5.886,25
5.886,25
5.94,25
5.94,25
5.942,25
5.995,25
5.995,25
6.049,25
6.049,25
6.106,25
6.106,25
6.17,25
6.17,25
6.17,25
6.225,25
6.225,25
6.279,25
6.279,25
6.279,25
6.333,25
6.333,25
6.387,25
6.387,25
6.441,25
6.441,25
6.494,25
6.494,25
6.494,25
6.548,25
6.548,25
6.604,25
6.604,25
6.658,25
6.658,25
6.712,25
6.712,25
6.712,25
6.773,25
6.773,25
6.827,25
6.827,25
6.881,25
6.881,25
6.881,25
6.935,25
6.935,25
6.992,25
6.992,25
7.045,25
7.045,25
7.045,25
7.1,25
7.1,25
7.159,25
7.159,25
7.212,25
7.212,25
7.214,25
7.271,25
7.271,25
7.325,25
7.325,25
7.379,25
7.379,25
7.433,25
7.433,25
7.433,25
16.598,6
16.605,26
16.661,26
16.661,26
16.715,26
16.715,26
16.772,26
16.772,26
16.772,26
16.826,26
16.826,26
16.879,26
16.879,26
16.932,26
16.932,26
16.987,26
16.987,26
16.988,26
17.042,26
17.042,26
17.095,26
17.095,26
17.15,26
17.15,26
17.207,26
17.207,26
17.207,26
17.264,26
17.264,26
17.318,26
17.318,26
17.373,26
17.373,26
17.373,26
17.427,26
17.427,26
17.48,26
17.48,26
17.534,26
17.534,26
17.59,26
17.59,26
17.59,26
17.644,26
17.644,26
17.699,26
17.699,26
17.755,26
17.755,26
17.756,26
17.81,26
17.81,26
17.864,26
17.864,26
17.917,26
17.917,26
17.972,26
17.972,26
17.972,26
18.026,26
18.026,26
18.079,26
18.079,26
18.132,26
18.132,26
18.187,26
18.187,26
18.188,26
18.241,26
18.241,26
18.294,26
18.294,26
18.4,26
18.4,26
18.453,26
18.453,26
18.506,26
18.506,26
18.56,26
18.56,26
18.615,26
18.615,26
18.671,26
18.671,26
18.671,26
18.725,26
18.725,26
18.779,26
18.779,26
18.832,26
18.832,26
18.888,26
18.888,26
18.888,26
18.943,26
18.943,26
18.997,26
18.997,26
19.052,26
19.052,26
19.052,26
19.106,26
19.106,26
19.161,26
19.161,26
19.215,25
19.215,25
19.271,25
19.271,25
19.271,25
19.327,25
19.327,25
19.38,25
19.38,25
19.437,25
19.437,25
19.439,25
19.493,25
19.493,25
19.547,25
19.547,25
19.602,25
19.602,25
19.605,25
